"year","month","day","country","flu_activity"
2003,"06","08","Hungary",NA
2003,"06","08","Japan",NA
2003,"06","08","Mexico",NA
2003,"06","08","Netherlands",NA
2003,"06","08","New Zealand",NA
2003,"06","08","Norway",NA
2003,"06","08","Paraguay",NA
2003,"06","08","Peru",358
2003,"06","08","Poland",NA
2003,"06","08","Romania",568
2003,"06","08","Russia",NA
2003,"06","08","South Africa",NA
2003,"06","08","Spain",NA
2003,"06","08","Sweden",NA
2003,"06","08","Switzerland",NA
2003,"06","08","Ukraine",NA
2003,"06","08","United States",NA
2003,"06","08","Uruguay",157
2003,"06","15","Argentina",258
2003,"06","15","Australia",NA
2003,"06","15","Austria",NA
2003,"06","15","Belgium",NA
2003,"06","15","Bolivia",521
2003,"06","15","Brazil",334
2003,"06","15","Bulgaria",NA
2003,"06","15","Canada",NA
2003,"06","15","Chile",3
2003,"06","15","France",NA
2003,"06","15","Germany",NA
2003,"06","15","Hungary",NA
2003,"06","15","Japan",NA
2003,"06","15","Mexico",NA
2003,"06","15","Netherlands",NA
2003,"06","15","New Zealand",NA
2003,"06","15","Norway",NA
2003,"06","15","Paraguay",NA
2003,"06","15","Peru",410
2003,"06","15","Poland",NA
2003,"06","15","Romania",561
2003,"06","15","Russia",NA
2003,"06","15","South Africa",NA
2003,"06","15","Spain",NA
2003,"06","15","Sweden",NA
2003,"06","15","Switzerland",NA
2003,"06","15","Ukraine",NA
2003,"06","15","United States",NA
2003,"06","15","Uruguay",221
2003,"06","22","Argentina",278
2003,"06","22","Australia",NA
2003,"06","22","Austria",NA
2003,"06","22","Belgium",NA
2003,"06","22","Bolivia",526
2003,"06","22","Brazil",279
2003,"06","22","Bulgaria",NA
2003,"06","22","Canada",NA
2003,"06","22","Chile",3
2003,"06","22","France",NA
2003,"06","22","Germany",NA
2003,"06","22","Hungary",NA
2003,"06","22","Japan",NA
2003,"06","22","Mexico",NA
2003,"06","22","Netherlands",NA
2003,"06","22","New Zealand",NA
2003,"06","22","Norway",NA
2003,"06","22","Paraguay",NA
2003,"06","22","Peru",427
2003,"06","22","Poland",NA
2003,"06","22","Romania",553
2003,"06","22","Russia",NA
2003,"06","22","South Africa",NA
2003,"06","22","Spain",NA
2003,"06","22","Sweden",NA
2003,"06","22","Switzerland",NA
2003,"06","22","Ukraine",NA
2003,"06","22","United States",NA
2003,"06","22","Uruguay",308
